start,end,distance
26069864,665074285,139.857
26069872,321706138,11.376
26069872,2348039030,8.57
26069872,2348039031,96.575
26069885,26069907,47.949
26069885,311783999,11.474
26069885,5322031945,84.293
26069890,26069907,48.246
26069890,4421568678,33.826
26069890,26069905,37.066
26069890,4397445657,19.34
26069904,4445994207,84.911
26069904,1755241804,81.673
26069904,2626385834,35.145
26069905,2633675337,126.287
26069905,26069890,37.066
26069905,2626385834,9.721
26069907,26069890,48.246
26069907,26069885,47.949
26069924,26069928,146.879
26069924,388545531,10.302
26069924,1307159377,119.805
26069928,1526281954,73.747
26069936,4419142213,74.885
26069943,4419149608,12.741
26069943,2500758982,18.289
26069944,4419149615,71.809
26069962,3357200327,148.822
26069969,1099409341,102.525
26069971,4413395075,279.256
26069971,1974739977,9.733
26069971,2135785102,10.839
26069976,4398463921,62.792
26069976,2383000573,21.957
26069976,2383000569,6.412
26069982,4872043762,25.908
26069982,26069751,108.073
26069982,1156735395,50.982
26069984,2534921866,39.496
26069984,1307159341,51.915
26069984,1122468021,165.486
26069984,4419114783,34.351
26069992,1079387357,14.751
26069992,2534921841,57.118
26069992,3752866857,42.777
26070017,4419499759,18.417
26070019,2384319108,24.416
26070019,1151193767,15.242
26070019,4413427361,28.232
26070025,1974739919,69.455
26070025,1151193803,12.444
26070025,1974739935,72.738
59840888,4413559962,36.334
59840890,311080350,156.227
59840891,4413563985,146.836
59840892,4419495122,62.321
59840893,59840894,254.677
59840894,382954328,204.556
59840896,59840897,140.216
59840897,1983162830,116.833
59840898,1714279114,43.801
59840899,1983162815,198.875
59841230,4413559956,57.827
59841232,314947109,74.567
59841233,4413563984,241.023
59841234,4419495114,142.284
59841235,59841234,257.994
59841238,318296063,148.168
59841239,1978206256,123.628
59841240,1978206222,37.038
59841241,1978206211,62.848
59841243,1978206178,72.425
59841243,1978206187,278.251
60072874,315310576,237.712
60075259,6273863583,13.61
60075259,4421497236,19.568
60075259,3357222510,27.349
60076963,4074634400,31.987
60076963,1731945841,34.818
60076964,4027946653,26.953
60076964,3063460625,11.04
60076966,4413447856,12.195
60076966,3114944515,12.153
60076967,3256266055,12.563
60076967,4429332950,14.068
60076971,2857971032,32.905
60076972,26059364,64.783
60076972,6315375952,47.692
60076973,1307159285,40.699
60076973,1307159494,93.084
60076973,1307159412,38.012
60076974,4429514504,107.247
60076976,426882130,46.913
156154282,322800788,124.814
311080350,311080351,199.343
311080350,59840891,124.537
311080351,4413563986,63.25
311080353,311080354,61.114
311080354,4419495119,47.262
311080355,4419495110,36.249
311080356,1983162859,155.521
311080356,1983162862,52.761
311080357,311080358,69.175
311080358,1983162858,23.489
311080358,1726059990,28.656
311080359,311080360,22.689
311080359,2270233766,11.513
311080360,311080361,12.037
311080361,311080364,10.726
311080364,311080365,10.615
311080365,311080367,17.534
311080367,311080375,13.978
311080367,1726059992,21.226
311080368,313164190,146.692
311080369,311080356,129.905
311080375,311080367,13.978
311080375,2272116588,9.542
311080375,7224393868,12.497
311080380,2271410307,37.477
311080380,7224393857,4.771
311080380,2272116576,21.258
311080382,1513884389,38.13
311080382,2271410308,78.959
311080383,3226037492,22.359
311080383,2270143902,11.311
311783915,311783920,23.253
311783915,5261849828,7.504
311783920,441708982,15.391
311783920,311783915,23.253
311783963,5261849825,80.144
311783963,7984700223,11.914
311783969,5261849825,48.711
311783969,5261851084,42.395
311783969,1747621107,185.168
311783969,1723037707,224.481
311783971,7798135085,12.764
311783971,7798135090,11.471
311783971,7466790408,56.365
311783971,3012065042,13.852
311783991,3951197835,136.651
311783991,2606055790,11.461
311783999,26069885,11.474
311783999,3010048440,55.186
311784002,3010048441,159.945
311784014,311784017,102.764
311784014,26059491,10.422
311784017,311784021,237.677
311784017,3951197837,10.784
311784021,311784024,160.502
311784024,321706138,58.838
313164076,2761345326,39.984
313164076,2761345324,30.411
313164076,1101582658,71.16
313164089,7444933784,37.111
313164089,665074329,215.407
313164089,441708903,42.788
313164089,2534921818,123.443
313164093,1101582425,87.293
313164093,1953248302,34.245
313164093,441708902,38.796
313164098,321706416,25.053
313164098,1953248265,37.133
313164113,4421568677,33.248
313164113,441708908,53.316
313164120,2990938768,4.197
313164120,4421568677,33.238
313164120,321706410,45.929
313164126,3357165290,11.848
313164126,2990938768,35.613
313164126,3012358522,196.604
313164142,415647757,18.645
313164142,1099409213,156.026
313164142,1737256490,58.264
313164160,2600512320,30.309
313164160,2600512316,88.657
313164160,1307159422,91.429
313164160,1151731340,58.282
313164182,382954329,79.942
313164190,311080369,85.05
313164197,1983162863,66.537
313164209,4419495125,21.481
313164209,4419495126,22.869
313164221,4419495123,25.014
314947099,314947110,24.874
314947099,1978206360,50.201
314947100,321706333,21.214
314947100,3335611400,50.104
314947101,314947102,41.6
314947102,314947103,23.16
314947103,2107527607,78.946
314947106,4419495109,97.423
314947107,2625683963,234.862
314947108,2625683964,131.631
314947109,4413559932,276.658
314947110,1978206357,13.181
314947111,314947112,13.967
314947112,1978206300,11.682
314947113,314947114,14.037
314947114,1978206290,13.242
314947115,314947116,15.092
314947116,1978206307,13.918
314947117,314947118,13.216
314947118,1978206350,12.323
314947120,426526843,26.274
314947120,2272116587,8.002
315310567,4413397678,23.231
315310567,1156712577,43.345
315310569,3669623695,28.6
315310570,315310569,419.17
315310571,4419542879,214.66
315310572,315310571,361.489
315310573,315310572,387.839
315310574,4419525001,74.71
315310575,3669624972,333.96
315310576,4498777591,251.677
315310708,7537285782,9.465
315310709,6048727514,11.33
315310709,3597730446,22.69
315310709,3597730453,127.836
315310709,3597730434,164.484
315310714,7537285910,61.399
315310714,2989530405,63.89
315310715,316623788,111.473
315310715,418760276,16.523
315310715,2136831318,148.559
316228988,4413501381,19.852
316228990,316228991,13.569
316228991,4413501376,17.058
316228992,316228993,31.042
316228993,316228994,28.453
316228994,3311194788,14.555
316228995,316228996,34.705
316228996,316228997,35.883
316228997,316228998,39.43
316228998,4419499811,45.933
316229000,316229001,38.341
316229001,2141140253,87.231
316451852,316451868,206.413
316451868,4413501384,156.599
316451900,4413501379,53.118
316451905,4413501367,32.987
316451908,3335288904,116.233
316451911,3311848931,14.192
316451914,2909020898,93.854
316451917,4413501355,22.873
316622555,6435472419,27.932
316622556,4308577544,10.819
316622556,316622625,14.236
316622556,316622557,9.786
316622557,4447117347,71.883
316622558,4308577515,72.891
316622574,1371261642,63.521
316622589,2903217080,17.402
316622589,316622621,10.339
316622589,4308577527,9.229
316622604,316622605,69.792
316622605,316622606,60.076
316622606,316622607,50.068
316622607,4308577511,60.889
316622610,4308577540,63.662
316622611,2270099628,55.241
316622612,4308578677,17.172
316622613,5601254516,36.11
316622614,5601254518,9.751
316622614,5601254520,13.133
316622614,5601255521,7.043
316622615,1919128601,10.359
316622615,4161791385,5.935
316622616,316622617,54.989
316622617,316622618,51.273
316622618,316622619,53.998
316622619,316622620,71.066
316622620,4308577539,25.292
316622621,316622589,10.339
316622621,4308577525,12.69
316622622,1512806490,66.541
316622624,1987108031,9.919
316622625,316622556,14.236
316622625,4308577538,17.197
316622626,331685115,16.922
316622626,6435472420,14.127
316622626,6435472418,13.184
316622628,3665029962,183.561
316622629,1985391128,243.029
316622630,3371223562,6.438
316622632,3665029963,10.919
316622632,1076646383,16.172
316622632,2772865052,121.27
316622633,3664678577,157.851
316622633,4061814753,13.779
316623788,316623789,113.317
316623789,316623790,78.525
316623789,318556931,50.709
316623790,316623791,64.033
316623791,4429500136,57.197
316623792,4429500134,59.807
316623793,4429500132,40.882
318296062,59841235,426.478
318296063,318296062,212.039
318296064,59840896,69.662
318296065,318296064,155.448
318296824,1747621105,10.518
318296824,1076646409,16.466
318296824,1747621099,256.195
318296826,318296827,215.661
318296827,1747621055,17.213
318296843,2626912650,46.595
318296844,318296845,87.987
318296845,2348039087,29.345
318296846,318296847,29.882
318296847,1755241760,30.645
318296847,318296852,34.512
318296847,2348039075,40.986
318296849,318296850,54.804
318296849,321706409,72.148
318296850,318296851,50.383
318296850,318296849,54.804
318296850,4077000151,9.586
318296851,325668374,19.174
318296851,318296850,50.383
318296852,318296847,34.512
318296852,325668374,21.897
318556929,4429500137,109.753
318556930,4429500139,94.017
318556931,698993624,15.9
318918096,318918098,51.587
318918096,3335611398,122.217
318918098,318918102,29.575
318918102,318918105,23.518
318918105,2272116574,27.916
318918107,2606023505,24.979
318918114,26069823,43.116
318918116,26069824,28.48
318918118,318918121,47.272
318918121,318918123,52.677
318918123,318918125,55.4
318918125,318918126,46.835
318918126,318918127,62.866
318918127,5601254519,89.607
318918129,318918136,41.088
318918136,318918139,31.592
318918139,318918174,51.961
318918174,318918185,56.691
318918185,318918186,48.21
318918186,318918189,49.032
318918189,318918190,62.745
318918190,318918191,40.904
318918191,318918192,25.589
318918192,318918194,27.987
318918194,4382229571,27.487
318918195,318918196,38.757
318918196,1726063055,34.381
318918196,1726063078,54.262
318918199,318918200,32.289
318918200,3335611395,54.993
318918200,1724154154,25.192
318918202,4308578679,30.768
318918203,4308578681,29.535
318918204,4308577529,22.312
318918205,4308577528,126.623
318919585,1554230227,20.206
318919585,429592661,11.621
318919585,318919586,118.244
318919586,6435472421,75.24
318919586,1371261651,74.936
318919601,1919128613,12.892
318919602,1983226974,16.659
318919610,1984416807,96.794
318919628,1984387099,44.078
318919638,1163353672,24.349
318919638,427515899,121.08
318919638,1984387100,32.216
318919640,1984387104,14.039
318919640,1984387105,25.939
318919640,427515899,41.039
318919652,2905733961,35.351
318919652,426526840,36.862
318919653,5365901142,44.935
318919653,424652484,33.521
318919665,322800791,195.046
318919665,1779179564,158.679
318919670,418281203,19.718
318919670,4817577918,51.506
318919673,2916169642,14.646
318919673,3335279401,12.091
320239324,1978206225,72.28
320239325,59841239,71.378
320239328,5069109522,50.098
320239328,2271410275,59.819
320239328,5267544821,34.477
320239329,320239330,35.454
320239329,2271410275,58.17
320239330,4407994839,7.763
320239330,320239329,35.454
321706129,1747621094,11.797
321706129,1747621091,98.193
321706130,665074329,60.675
321706130,1747621094,223.538
321706137,2270099662,16.55
321706137,2625226958,70.174
321706137,2348039033,23.353
321706138,26069872,11.376
321706138,2347844381,10.653
321706139,4412657217,15.306
321706139,2348039073,25.61
321706140,4412657220,13.322
321706140,2348039069,38.007
321706141,2348039038,38.009
321706141,4421637911,26.12
321706143,2625683952,11.197
321706143,4419530814,40.761
321706146,1747620900,19.807
321706260,321706261,55.172
321706261,321706262,15.011
321706262,3335611397,15.527
321706262,1101582428,35.658
321706262,1859239470,12.885
321706262,3677437814,28.089
321706311,2628540300,19.174
321706311,2628540297,13.331
321706315,7916358972,9.767
321706315,429592652,11.788
321706316,7224393859,5.102
321706316,2272116576,20.99
321706316,2272116577,17.259
321706318,321706319,48.565
321706318,7224393859,33.222
321706319,321706320,28.021
321706319,321706318,48.565
321706320,321706321,34.853
321706320,321706319,28.021
321706321,321706322,29.724
321706321,321706320,34.853
321706322,321706324,20.771
321706322,321706321,29.724
321706324,321706322,20.771
321706324,321706325,60.068
321706325,321706324,60.068
321706325,2578036796,4.456
321706326,2578036820,20.884
321706327,321706328,50.694
321706328,321706329,65.294
321706329,2578036863,27.764
321706330,2578036865,15.473
321706330,2578036863,17.914
321706331,2578036873,10.173
321706331,2578036869,10.198
321706332,321706333,14.158
321706332,2578036873,11.908
321706333,314947100,21.214
321706333,321706332,14.158
321706337,1120363051,104.847
321706337,1120363029,67.559
321706337,1120362934,42.52
321706338,1097076793,45.381
321706338,4413455814,102.103
321706338,1120362712,103.845
321706338,1120362650,45.995
321706339,1737223270,346.912
321706339,4413455814,11.875
321706339,4419131111,21.781
321706341,7930454485,8.49
321706341,1482272894,22.484
321706341,1120362650,69.378
321706342,1987033392,25.308
321706342,1482272894,14.539
321706343,1702087883,9.912
321706343,1987033388,34.402
321706344,1720776496,25.761
321706344,1702087932,38.798
321706345,321706346,39.78
321706345,1720776496,17.743
321706346,8267091931,25.448
321706346,321706345,39.78
321706347,8267091930,8.171
321706347,8267091931,16.814
321706348,1987033349,9.524
321706348,1987033351,11.35
321706349,1987033347,12.924
321706349,1987033349,11.352
321706350,1987033345,17.321
321706350,1987033347,11.144
321706363,6315376027,6.667
321706363,6315376026,43.355
321706363,665087333,27.197
321706366,1068801445,58.047
321706366,6315376027,26.303
321706366,924213338,43.705
321706369,321706370,61.15
321706369,3331411550,14.068
321706369,2399106463,17.808
321706369,5371862406,15.99
321706370,321706371,161.586
321706371,4419142221,8.283
321706371,4419142220,7.856
321706377,4408412729,19.923
321706377,1127494351,76.466
321706379,4421607789,29.144
321706379,1103039562,40.737
321706380,3355806029,56.903
321706380,4401808638,30.877
321706380,7721501220,68.875
321706380,1103039646,90.71
321706382,2078325812,38.81
321706382,1122468024,12.394
321706382,1122467973,177.78
321706394,1122467954,60.853
321706394,1188790281,12.52
321706394,1188790108,55.143
321706395,2630761964,124.295
321706395,1079387306,63.026
321706395,2630761950,50.395
321706396,368297601,37.616
321706396,7721501212,22.452
321706397,368297601,171.533
321706397,2726738885,95.063
321706398,3218814937,24.453
321706398,2600512323,22.82
321706399,6333865579,7.794
321706399,6333865580,13.801
321706399,6333865581,15.598
321706399,6333865582,11.415
321706409,318296849,72.148
321706409,1101582658,78.445
321706410,321706411,50.05
321706410,313164120,45.929
321706410,321706413,8.025
321706411,441709049,13.265
321706411,321706410,50.05
321706413,1953248250,75.878
321706413,321706410,8.025
321706414,321706415,10.653
321706415,321706414,10.653
321706415,1953248257,64.146
321706416,313164098,25.053
322800776,1151193544,10.128
322800776,1373613625,165.133
322800776,4413415503,14.575
322800777,1163353680,86.102
322800777,2383000379,71.058
322800777,2905733426,41.546
322800777,1163353694,85.849
322800785,1968971373,28.875
322800785,1127494323,140.461
322800785,2042814613,46.684
322800786,3485172099,79.14
322800786,1163353694,57.756
322800786,1163353663,62.508
322800787,3306931424,243.064
322800788,4413477040,34.474
322800789,3335279428,51.253
322800790,2385315982,79.168
322800791,318919665,195.046
322800791,3307250555,51.714
325668277,2270099678,76.356
325668277,665074294,77.897
325668277,7462405054,5.047
325668287,4421667264,26.801
325668287,2270233777,53.009
325668287,2270233799,16.939
325668287,7930411778,22.486
325668295,2348039054,24.794
325668295,2270099667,51.631
325668295,2270099669,55.11
325668295,7462405053,5.05
325668303,325668306,94.241
325668303,1632795431,23.434
325668306,1737223573,12.557
325668306,325668303,94.241
325668309,325668313,23.978
325668309,1737223573,10.659
325668313,325668316,34.451
325668313,325668309,23.978
325668316,1737223568,49.383
325668316,325668313,34.451
325668327,2626385805,16.034
325668374,318296852,21.897
325668374,318296851,19.174
331638814,4421520454,24.253
331638814,3484178782,20.413
331638816,2916985828,60.346
331638816,2916985870,73.175
331638816,4408412729,50.471
331638816,2905764739,141.87
331638817,2908793034,12.419
331638817,1127494203,75.198
331638817,3335279431,29.82
331638819,3335279432,18.855
331638819,2905764741,81.958
331638820,2607494545,7.258
331638820,4551174864,14.791
331638821,410456356,16.786
331638822,410456354,22.409
331638823,4551171694,12.117
331638823,331638824,12.138
331638824,2989548138,14.183
331638826,2607494546,7.497
331638827,2607494547,6.357
331638827,4551173407,14.808
331638828,2607494541,11.113
331638828,2383000377,82.82
331638829,4269544930,7.411
331638829,2607494542,17.611
331638832,2607494543,9.264
331638836,331638840,12.326
331638836,6437941619,10.85
331638840,2607494544,9.114
331638845,2383000375,126.95
331638845,3355904085,102.763
331638845,1079387328,39.531
331638846,4027797889,40.986
331638846,4551171694,36.437
331638848,1151193100,38.233
331638848,1151193208,44.778
331638852,1079387306,181.881
331638852,1079387236,147.833
331638852,1103039716,21.462
331638852,2421243550,57.749
331638856,2385315966,125.028
331638856,3335279405,10.618
331685115,665087326,19.245
331685115,1718165248,16.731
331685115,6435472416,13.246
331685119,1718165259,19.478
331685125,4447224938,50.316
338641974,1983162855,22.471
338641974,1983162852,67.72
338641975,1983162843,17.007
338641976,338641977,23.925
338641977,338641978,40.844
338641978,338641979,110.946
338641979,338641981,113.803
338641981,1983162829,79.684
346112680,2625683954,59.034
346112686,1747620911,14.967
346112686,1726063059,48.406
346112688,1747620909,7.712
346112696,1747620937,11.033
346112703,1747621087,238.443
346112705,1076646409,256.64
346112705,1747621099,12.162
346112705,1747621100,15.294
359868214,1099409486,243.053
359868214,2399106409,69.315
359868214,3357225544,15.242
359868218,4419142212,34.505
361550477,1747621115,7.789
361550477,1747621116,43.994
361550477,400886746,10.3
361552709,1986413641,18.863
361552709,4447117345,25.227
361552713,1986413602,16.182
361552713,5502368118,136.896
361552713,1512806349,78.839
361552950,361552953,45.169
361552950,2903217080,13.967
361552953,361552950,45.169
361552953,1101582040,128.914
361552953,1101582347,71.892
361552960,2628010869,3.643
361552960,2628010851,16.134
361552964,1477986274,13.564
361552964,2628010869,31.718
361552968,1477986289,17.383
361552968,1482253606,7.304
361552973,1099409396,37.665
361552973,1554230235,13.977
361552973,1099409304,195.295
361552977,4355285623,29.334
361552977,1554231832,17.685
368297594,4421598137,5.907
368297594,3331411550,21.396
368297594,1099409290,90.687
368297601,321706397,171.533
368297601,2078312046,60.271
368297601,321706396,37.616
368297602,1307159669,62.161
368297602,2385315974,123.912
368297602,2385315970,38.861
368297602,2385315973,82.75
368297603,1307159290,34.218
368297603,1307159669,59.385
368297603,1307159642,38.06
368297603,2905764752,40.134
368297608,3480106950,55.059
368297608,1079387244,30.562
382954209,4419495112,100.928
382954293,4419495108,33.37
382954308,4419495111,14.314
382954324,4419495113,18.72
382954328,1983162860,42.544
382954328,318296065,218.418
382954329,382954330,150.552
382954330,382954331,48.99
382954331,338641979,128.713
388545531,1307159474,75.625
388545531,2386842508,131.236
388545531,26069924,10.302
400886720,1122467918,95.545
400886720,1968971391,149.222
400886720,1127494232,40.585
400886721,1968971385,118.589
400886721,1968971391,43.84
400886725,1122467930,9.097
400886725,426882116,47.993
400886726,1122467994,55.495
400886726,1122468011,100.479
400886726,1122467907,49.842
400886727,1747621152,12.971
400886727,4419498983,117.29
400886729,4413483778,22.918
400886734,400886736,33.76
400886736,1747621147,18.687
400886737,4413483776,35.278
400886738,400886739,61.458
400886739,1747621142,33.25
400886740,1747621139,16.261
400886741,400886742,38.29
400886742,1747621131,23.065
400886743,6403370365,22.072
400886743,1747621124,22.851
400886743,1747621125,9.243
400886743,1747621128,12.329
400886744,1723026420,50.497
400886744,1076646221,11.194
400886744,1747621110,11.754
400886746,400886744,139.538
400886746,1747621113,9.089
400886746,361550477,10.3
410456348,1076646327,57.127
410456348,2627360762,11.047
410456348,3357165289,21.01
410456354,331638823,18.814
410456355,6126831019,144.77
410456355,1127494322,41.324
410456356,331638822,16.894
410456356,6333765903,11.676
410456358,3305186806,6.008
410456358,4243887516,12.167
413339632,314947106,89.869
413339632,1747620907,89.933
413339633,1747620918,26.215
413339633,1747620917,20.963
413339634,1747620933,15.549
413339635,1747620931,12.771
415647757,313164142,18.645
415647757,1099409409,51.987
415647757,4413489050,140.814
415647758,3335361210,34.727
415647758,1307159394,34.621
415647759,1941922115,49.558
415647759,4413414741,28.678
415647760,4429332955,22.903
415647760,1924125372,15.894
415647761,4413514501,25.114
415647761,2141295395,100.527
415647762,4096409458,40.853
415647762,1076646376,37.4
415647765,1941922121,40.576
415647765,2905734066,39.566
415647766,6333765781,10.613
415647766,2989547927,16.927
415647766,2989547920,14.294
415647767,423645477,86.033
415647767,1953248306,162.605
415647767,1373613605,59.804
415647767,5371658134,88.412
415647769,4383459449,48.553
415647769,4443326620,22.755
418281154,2141295401,171.654
418281154,4413514501,86.847
418281156,1959271884,9.913
418281156,418281158,134.975
418281158,418281156,134.975
418281158,2413954836,71.873
418281159,4413558494,47.808
418281159,1974739814,25.029
418281160,4421551542,25.044
418281160,3114944512,46.323
418281160,1307159578,15.05
418281164,4421551544,6.888
418281164,4443326627,47.177
418281166,418281167,19.763
418281166,3480127526,10.782
418281167,418281166,19.763
418281167,3480127525,15.107
418281168,2500758981,14.647
418281168,2500758979,11.874
418281170,1974739852,28.058
418281170,2500758980,13.89
418281170,3368020449,14.077
418281170,5365901204,32.18
418281200,418281201,239.575
418281200,7922528447,23.272
418281201,2141295389,18.516
418281201,418281200,239.575
418281203,318919670,19.718
418281203,5413535670,14.07
418281203,3485232807,87.55
418281204,3074750131,99.545
418281204,3114944516,12.064
418281204,419010096,26.86
418281204,1372433729,53.822
418281206,3074750131,6.677
418281206,3074750634,40.142
418281206,1372433732,47.853
418281207,1959271994,43.153
418281207,418281208,30.938
418281207,3074750634,21.146
418281208,1372433740,33.309
418281208,418281207,30.938
418281209,1372433740,78.485
418281209,418281211,41.613
418281211,4421571359,16.752
418281211,418281209,41.613
418281212,420456522,90.25
418281212,4421571359,17.091
418281215,4413436686,19.552
418281216,4413436688,55.922
418281217,1120362617,40.18
418281218,1984416796,20.901
418575639,2296955231,26.191
418575639,4458460102,15.513
418575641,4458460105,26.502
418575641,4458460104,23.807
418575642,418575644,83.025
418575642,4429259430,49.884
418575644,4429259432,15.467
418575644,418575642,83.025
418575647,2296955238,24.254
418575647,4429259433,32.719
418575648,3208480351,11.726
418575648,2296955238,29.28
418575650,2296955243,24.649
418575650,2296955240,25.725
418575652,418575653,92.294
418575652,2296955253,20.339
418575653,2820814274,85.994
418575653,4429259467,59.282
418575653,418575652,92.294
418575654,3724528908,23.941
418575654,2826776860,21.093
418575657,4382889556,6.762
418575657,1747621174,18.286
418575657,3375916350,31.508
418575658,418575660,23.866
418575660,2135600746,20.944
418575660,4413446522,35.62
418575660,4382889557,29.298
418575661,3375919207,17.904
418575661,2135602621,137.36
418575662,2826776863,15.325
418575662,4418950190,48.692
418575662,2135569698,127.687
418575664,4408418535,78.295
418575664,4408418532,64.142
418575664,1756277317,13.964
418575664,7922528447,30.657
418575664,7922528450,27.022
418575666,4458460111,13.687
418575666,2990317190,9.746
418575667,4458460110,15.187
418575667,4429259458,7.47
418575668,2990317180,26.754
418575668,4429259449,14.615
418575669,4458460107,24.597
418575669,2990317180,24.716
418575670,2820814268,26.631
418575670,2820814270,25.438
418575671,4435212905,18.783
418575671,2820814266,20.036
418575672,4429282977,16.245
418575672,2820814262,32.011
418575673,4429282955,29.392
418575673,1729202342,85.106
418575673,4435212903,16.682
418575680,4429282930,38.73
418575680,4429282932,33.343
418575681,4429282930,25.899
418575681,1892268400,102.174
418575681,1892268390,55.474
418575681,1946525909,29.11
418575682,4429282926,23.861
418575682,4435212900,17.785
418575683,418575684,11.709
418575683,2820814260,44.726
418575684,1946525849,15.482
418575684,1946525854,18.484
418575684,418575683,11.709
418575689,4458462171,12.234
418575690,1987107724,26.576
418575690,4458462171,11.533
418575691,1987107741,17.688
418575691,4458462173,8.732
418575692,418575694,111.504
418575692,4458462175,6.253
418575694,4458462172,12.898
418575694,418575692,111.504
418575696,1987107752,72.728
418575696,1987107739,93.751
418575697,4436573771,14.352
418575697,1987107754,14.173
418575699,4436573773,8.662
418575699,4436573772,27.436
418575702,1987107825,24.591
418575702,1987107792,26.739
418575703,1987107854,12.378
418575703,1987107834,12.709
418575704,418575707,131.917
418575704,1987107875,7.711
418575707,1987107884,27.507
418575707,418575704,131.917
418575708,418575710,128.853
418575708,1987107895,25.297
418575710,418575712,26.799
418575710,418575708,128.853
418575712,418575713,41.43
418575712,418575710,26.799
418575713,418575715,19.427
418575713,418575712,41.43
418575715,1987107965,16.682
418575715,418575713,19.427
418575717,1987107984,9.722
418575717,1987107975,11.577
418575718,418575721,7.114
418575718,1987107984,11.583
418575721,418575723,7.331
418575721,418575718,7.114
418575723,418575725,5.783
418575723,418575721,7.331
418575725,418575727,13.2
418575725,418575723,5.783
418575727,1987107997,20.249
418575727,418575725,13.2
418575729,1987108046,14.401
418575729,1987108035,12.993
418575730,418575731,39.103
418575730,4436573778,35.706
418575731,1987108056,17.272
418575731,418575730,39.103
418614429,4572998856,66.957
418614429,5365901204,3.04
418760276,4413389787,113.597
418760276,8209698427,62.978
418760276,315310715,16.523
418760277,4413487349,112.791
418760277,1087927009,56.712
418760277,418760278,14.165
418760278,418760277,14.165
418760278,4413492952,57.622
418760278,4413395062,62.265
419010096,3114944518,24.017
419010096,3114944519,9.574
419010096,418281204,26.86
419028589,8422164555,28.28
419028589,8422164585,64.051
419028594,2518952120,27.686
419028594,420547124,16.944
419028609,3367932156,13.982
419028611,3367932302,16.503
419028613,2296974889,38.216
419028613,431411910,11.258
419028615,3367980099,61.196
419028617,3140118481,39.056
419028619,3367980101,33.613
419028621,2883459619,38.204
419028623,3140118479,15.254
419028625,2773104967,19.501
419028626,3140118476,22.25
419028627,3140118471,24.146
419028628,2812529082,40.837
419028629,26059325,36.545
